codigoCredito,codigoOficina,tipoCredito,sector,destinoCredito,fechaAperturaMin,fechaAperturaMax,montoApertura,numeroCuotas,interes,condicionCredito,esDeudor,cuentaUnica,periodos
001710000017,001,RECUPERADO,PYMES,CTINFORMAL,2017-08-07,2017-08-07,2500.0,12,674.1,CASTIGADO(V),1,1,sem2
001710000066,001,RECURRENTE,PYMES,AFINFORMAL,2017-04-03,2017-08-07,10000.0,24,2286.73,CASTIGADO(V),1,1,sem4
001710000090,001,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-08-07,2017-08-07,1058.5,12,284.31,CASTIGADO(V),1,1,sem2
001710000124,001,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-08-08,2017-08-08,8500.0,24,3339.98,NORMAL,0,1,sem4
001710000132,001,RECURRENTE,PYMES,AFINFORMAL,2017-08-08,2017-08-08,35000.0,36,10658.11,NORMAL,0,1,sem6
001710000165,001,RECURRENTE,PYMES,AFINFORMAL,2017-07-20,2018-04-21,10000.0,24,2159.75,NORMAL,0,0,sem4
001710000199,001,RECURRENTE,PYMES,AFINFORMAL,2017-08-08,2017-08-08,35000.0,36,13809.76,NORMAL,0,1,sem6
001710000223,001,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-06-15,2017-08-08,3000.0,12,790.1,VENCIDO,1,1,sem2
001710000256,001,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-01-17,2018-06-04,20000.0,24,5165.16,NORMAL,0,0,sem4
001710000298,001,RECURRENTE,PYMES,CTINFORMAL,2017-06-30,2017-08-09,60000.0,18,7786.79,NORMAL,0,1,sem3
001710000348,001,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-08-09,2017-08-09,2000.0,12,489.29,VENCIDO,1,1,sem2
001710000363,001,RECURRENTE,PYMES,AFINFORMAL,2017-08-09,2017-08-09,16000.0,30,5559.83,NORMAL,1,1,sem5
001710000397,001,RECURRENTE,PYMES,AFINFORMAL,2017-08-09,2017-08-09,25000.0,24,5792.88,NORMAL,1,1,sem4
001710000405,001,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-08-12,2017-08-12,5117.0,18,1585.83,NORMAL,0,1,sem3
001710000413,001,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-02-09,2017-08-09,3000.0,12,923.03,VENCIDO+120DIAS,1,1,sem2
001710000439,001,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-08-10,2017-08-10,1000.0,12,296.86,VENCIDO+120DIAS,1,1,sem2
001710000454,001,RECUPERADO,PYMES,AFINFORMAL,2017-08-10,2017-08-10,15000.0,36,7673.25,NORMAL,0,1,sem6
001710000553,001,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-08-11,2017-08-11,10000.0,20,2655.39,NORMAL,1,1,sem4
001710000561,001,RECUPERADO,CONSUMO,CONSUMO,2017-08-11,2017-08-11,1000.0,12,234.94,CASTIGADO(V),1,1,sem2
001710000595,001,RECURRENTE,CONSUMO,CONSUMO,2017-02-02,2017-08-11,3000.0,8,513.94,VENCIDO+120DIAS,1,1,sem2
001710000611,001,NUEVO,PYMES,AFINFORMAL,2017-08-11,2017-08-11,20000.0,24,5273.41,NORMAL,0,1,sem4
001710000637,001,RECURRENTE,PYMES,AFINFORMAL,2017-03-24,2017-08-11,30000.0,36,9945.59,NORMAL,1,1,sem6
001710000645,001,NUEVO,CONSUMO,CONSUMO,2017-08-12,2017-08-12,1078.0,12,248.03,NORMAL,1,1,sem2
001710000702,001,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-08-12,2017-08-12,8000.0,18,2373.22,NORMAL,1,1,sem3
